Index,Image_ID,Category,Prompt,Image_Filename
1,000438f99177213e07a9b9c875248eea17b8c8c6,plants,"drinking herbs, white background ",plants/000438f99177213e07a9b9c875248eea17b8c8c6.jpg
2,001a628e1e46cd93943facb70bb8539e63f49278,food,"udon, photorealistic, very detailed ",food/001a628e1e46cd93943facb70bb8539e63f49278.jpg
3,0030b0bfa5d80b15e04c217f6dea2005993c99e1,landscape,"what is the best apocrypha wallpaper, in the style of anton fadeev, spiritual resonance, epic landscapes, psychological phenomena illustrations, hyperrealistic atmospheres, ahmed morsi, dark cyan and bronze ",landscape/0030b0bfa5d80b15e04c217f6dea2005993c99e1.jpg
4,00313c95d0b23f6a125f74743cdbfb71474b1b1c,vehicles,"Frigate Ship, front view, full body, event horizon in the background, space, stars, planets,galaxy, clean colors, HD, 16K, ",vehicles/00313c95d0b23f6a125f74743cdbfb71474b1b1c.jpg
5,003db9520748ca7291e76f358e8c5d2a15bd6b61,landscape,"Norrköping skyline, sunny day, fantasy setting",landscape/003db9520748ca7291e76f358e8c5d2a15bd6b61.jpg
6,004c12b52fa4511b79381e378e8d85f215201b8c,vehicles,"paris France, on cinematic film, at night, mixed with Arizona desert, at night, start night, cinematic colors dark,",vehicles/004c12b52fa4511b79381e378e8d85f215201b8c.jpg
7,004f3bab2e4297f02e10190bd3bf2afd89835990,animals,bumble bee that feeds on cannabis,animals/004f3bab2e4297f02e10190bd3bf2afd89835990.jpg
8,006bf9633c8deaf2011ccc6f8f64d2b84f146be1,landscape,"Lake with a long stone bridge decorated with statues. Autumn forest with mountain background. In the style of Studio Ghibli and Andreas Rocha, Sylvain Sarrailh, realism, Cinematic ",landscape/006bf9633c8deaf2011ccc6f8f64d2b84f146be1.jpg
9,006df8a4af198f497b6787e4505436ce33fc4f78,people,extremely sick man using the computer ,people/006df8a4af198f497b6787e4505436ce33fc4f78.jpg
10,006f836ac5124493166844a7c38fc86e70446dcb,logo,"Experience the magic of natures bounty as almonds, macadamia nuts, shea, and coffee beans combine with the power of ionization to bring you the ultimate benefits for your skin. Picture a lush garden where these ingredients grow in abundance, their unique properties captured in every drop of our luxurious formula. Imagine the transformation as your skin is revitalized and restored to its natural radiance. Let our artistic innovation transport you to a world where beauty meets science, and where the gifts of the earth provide the ultimate luxury.",logo/006f836ac5124493166844a7c38fc86e70446dcb.jpg
11,00765ae638f52d1c1db7623a3ab7dd346e681243,animals,un pitt bull style humain avec corps musclé haute définition précis,animals/00765ae638f52d1c1db7623a3ab7dd346e681243.jpg
12,007bd3340860713563281cc29e826228239258da,people,"morgan freeman headshot, hyperrealistic, 4k, colour graded, wearing old shashank redemption hat, looking at camera, ",people/007bd3340860713563281cc29e826228239258da.jpg
